Test_ID,Date_Time,Load_Percent,Input_Voltage_V,Input_Current_A,Input_Power_kW,Output_Voltage_V,Output_Current_A,Output_Power_kW,Efficiency_Percent,Power_Factor,Temperature_C,Switching_Freq_Hz,Loss_kW,Remarks
E0001,2024-03-01 08:00:00,10,12506,4.2,52.1,484,104.6,50.2,96.34,0.986,32.4,10392,1.91,Light load test
E0002,2024-03-01 08:01:00,10,12442,4.2,52.6,481,106.0,50.9,96.65,0.995,37.3,9889,1.76,Light load test
E0003,2024-03-01 08:02:00,10,12454,4.2,52.6,475,105.8,50.8,96.48,1.004,34.0,10295,1.85,Light load test
E0004,2024-03-01 09:03:00,10,12488,4.3,53.5,482,107.2,51.5,96.20,1.018,37.0,9750,2.04,Light load test
E0005,2024-03-01 09:04:00,10,12505,4.3,53.6,484,107.9,51.8,96.72,0.957,36.3,9828,1.76,Light load test
E0006,2024-03-01 09:05:00,10,12476,4.2,52.7,475,105.9,50.8,96.49,1.019,38.9,9830,1.85,Light load test
E0007,2024-03-01 10:06:00,10,12428,4.2,52.8,478,106.5,51.1,96.86,0.992,38.4,10460,1.66,Light load test
E0008,2024-03-01 10:07:00,10,12494,4.2,52.1,482,105.0,50.4,96.64,0.985,32.2,10010,1.75,Light load test
E0009,2024-03-01 10:08:00,10,12492,4.2,52.5,481,105.2,50.5,96.16,0.955,39.5,9925,2.02,Light load test
E0010,2024-03-01 11:09:00,10,12487,4.3,53.3,475,107.0,51.3,96.40,0.958,34.8,10366,1.92,Light load test
E0011,2024-03-01 11:10:00,10,12509,4.3,53.9,479,108.3,52.0,96.48,0.984,35.0,9531,1.90,Light load test
E0012,2024-03-01 12:11:00,10,12495,4.3,53.5,476,107.3,51.5,96.35,0.990,39.6,10390,1.95,Light load test
E0013,2024-03-01 12:12:00,10,12491,4.3,53.6,480,107.8,51.7,96.47,0.958,33.3,10246,1.89,Light load test
E0014,2024-03-01 12:13:00,10,12451,4.2,52.7,476,105.7,50.7,96.22,1.018,32.8,9957,1.99,Light load test
E0015,2024-03-01 13:14:00,10,12456,4.3,53.2,476,107.2,51.5,96.70,0.971,33.1,9952,1.76,Light load test
E0016,2024-03-01 13:15:00,10,12519,4.3,54.0,477,108.8,52.2,96.75,1.027,37.5,10273,1.75,Light load test
E0017,2024-03-01 13:16:00,10,12489,4.3,53.6,478,108.1,51.9,96.83,0.970,36.3,10312,1.70,Light load test
E0018,2024-03-01 14:17:00,10,12436,4.3,54.0,485,108.6,52.1,96.59,1.017,35.4,9621,1.84,Light load test
E0019,2024-03-01 14:18:00,10,12519,4.2,52.7,477,106.3,51.0,96.83,0.984,38.3,10195,1.67,Light load test
E0020,2024-03-01 15:19:00,10,12462,4.2,52.1,475,104.6,50.2,96.28,0.956,34.9,9681,1.94,Light load test
E0021,2024-03-01 15:20:00,10,12449,4.3,53.9,479,108.6,52.1,96.66,0.970,34.5,10328,1.80,Light load test
E0022,2024-03-01 15:21:00,10,12423,4.3,53.9,480,108.0,51.8,96.17,1.011,39.7,9819,2.06,Light load test
E0023,2024-03-01 16:22:00,10,12509,4.3,53.2,478,107.1,51.4,96.67,1.026,37.7,9737,1.77,Light load test
E0024,2024-03-01 16:23:00,10,12461,4.3,54.0,478,108.6,52.1,96.62,1.001,34.6,10071,1.83,Light load test
E0025,2024-03-01 16:24:00,10,12422,4.3,54.0,476,108.1,51.9,96.12,0.973,35.8,9550,2.09,Light load test
